feat_key,cl_size,min_s,clusters_train,clusters_test,clusters_dev,outliers_train,outliers_test,outliers_dev,ARI_train,ARI_test,ARI_dev,NMI_train,NMI_test,NMI_dev,prec_train,prec_dev,prec_test,recall_train,recall_dev,recall_test,f1_train,f1_dev,f1_test
feats_sp_transVgg16big_nsampling_rnd_win32_neg_samples4_lcontexts2_rcontexts2_flts40_embsize100_fc_size512_unit_norm_var_dropout_keep0.9_l2_reg0.0005_featinput_unnormalized.feats.ark_dot_combine_tied_embs_8_3,-,8,3,-,16,11,-,14,21,-,0.9498,0.9388,-,0.9591,0.9431,-,0.9932,0.9961,-,0.9048,0.9178,-,0.9470,0.9553
feats_sp_transVgg16big_nsampling_rnd_win32_neg_samples4_lcontexts2_rcontexts2_flts40_embsize100_fc_size512_unit_norm_var_dropout_keep0.9_l2_reg0.0005_featinput_unnormalized.feats.ark_dot_combine_tied_embs_8_5,-,8,5,-,15,11,-,30,25,-,0.9443,0.9367,-,0.9562,0.9407,-,0.9949,0.9966,-,0.9001,0.9082,-,0.9451,0.9504
feats_sp_transVgg16big_nsampling_rnd_win32_neg_samples4_lcontexts2_rcontexts2_flts40_embsize100_fc_size512_unit_norm_var_dropout_keep0.9_l2_reg0.0005_featinput_unnormalized.feats.ark_dot_combine_tied_embs_8_8,-,8,8,-,15,11,-,40,32,-,0.9372,0.9191,-,0.9475,0.9239,-,0.9837,0.9966,-,0.8814,0.8967,-,0.9298,0.9440
tedlium_ivectors_nosp_3_3,-,3,3,1977,12,10,8923,1,2,0.8587,0.9717,0.9792,0.9568,0.9804,0.9598,0.9457,0.9702,0.9528,0.7866,0.9944,0.9983,0.8588,0.9821,0.9750
tedlium_ivectors_nosp_3_5,-,3,5,1564,12,11,11581,1,7,0.8466,0.9717,0.9808,0.9523,0.9804,0.9586,0.9501,0.9738,0.9528,0.7637,0.9934,0.9983,0.8467,0.9835,0.9750
tedlium_ivectors_nosp_3_8,-,3,8,1447,12,10,13892,1,7,0.8243,0.9717,0.9825,0.9452,0.9804,0.9631,0.9370,0.9740,0.9528,0.7361,0.9962,0.9983,0.8245,0.9850,0.9750
tedlium_ivectors_nosp_5_3,-,5,3,1630,12,10,8699,1,2,0.8713,0.9717,0.9792,0.9605,0.9804,0.9598,0.9568,0.9702,0.9528,0.8001,0.9944,0.9983,0.8714,0.9821,0.9750
tedlium_ivectors_nosp_5_5,-,5,5,1515,12,10,11613,1,3,0.8470,0.9717,0.9789,0.9525,0.9804,0.9574,0.9498,0.9699,0.9528,0.7645,0.9941,0.9983,0.8471,0.9819,0.9750
tedlium_ivectors_nosp_5_8,-,5,8,1420,12,10,13900,1,7,0.8246,0.9717,0.9825,0.9453,0.9804,0.9631,0.9368,0.9740,0.9528,0.7366,0.9962,0.9983,0.8247,0.9850,0.9750
tedlium_ivectors_nosp_8_3,-,8,3,1499,12,10,9008,1,2,0.8734,0.9717,0.9792,0.9605,0.9804,0.9598,0.9564,0.9702,0.9528,0.8038,0.9944,0.9983,0.8735,0.9821,0.9750
tedlium_ivectors_nosp_8_5,-,8,5,1442,12,10,11841,1,3,0.8470,0.9717,0.9789,0.9522,0.9804,0.9574,0.9481,0.9699,0.9528,0.7656,0.9941,0.9983,0.8472,0.9819,0.9750
tedlium_ivectors_nosp_8_8,-,8,8,1393,12,10,13982,1,7,0.8244,0.9717,0.9825,0.9452,0.9804,0.9631,0.9355,0.9740,0.9528,0.7371,0.9962,0.9983,0.8245,0.9850,0.9750
tedlium_ivectors_sp_3_3,-,3,3,-,12,10,-,1,2,-,0.9717,0.9792,-,0.9804,0.9598,-,0.9702,0.9528,-,0.9944,0.9983,-,0.9821,0.9750
tedlium_ivectors_sp_3_5,-,3,5,-,12,11,-,1,3,-,0.9717,0.9784,-,0.9804,0.9567,-,0.9695,0.9528,-,0.9938,0.9983,-,0.9815,0.9750
tedlium_ivectors_sp_3_8,-,3,8,-,12,10,-,3,8,-,0.9690,0.9818,-,0.9781,0.9613,-,0.9741,0.9528,-,0.9948,0.9933,-,0.9843,0.9726
tedlium_ivectors_sp_5_3,-,5,3,-,12,10,-,1,2,-,0.9717,0.9792,-,0.9804,0.9598,-,0.9702,0.9528,-,0.9944,0.9983,-,0.9821,0.9750
tedlium_ivectors_sp_5_5,-,5,5,-,12,11,-,1,3,-,0.9717,0.9784,-,0.9804,0.9567,-,0.9695,0.9528,-,0.9938,0.9983,-,0.9815,0.9750
tedlium_ivectors_sp_5_8,-,5,8,-,12,10,-,3,8,-,0.9690,0.9818,-,0.9781,0.9613,-,0.9741,0.9528,-,0.9948,0.9933,-,0.9843,0.9726
tedlium_ivectors_sp_8_3,-,8,3,-,12,10,-,1,2,-,0.9717,0.9792,-,0.9804,0.9598,-,0.9702,0.9528,-,0.9944,0.9983,-,0.9821,0.9750
tedlium_ivectors_sp_8_5,-,8,5,-,12,10,-,1,2,-,0.9717,0.9773,-,0.9804,0.9565,-,0.9672,0.9528,-,0.9942,0.9983,-,0.9805,0.9750
tedlium_ivectors_sp_8_8,-,8,8,-,12,10,-,3,8,-,0.9690,0.9818,-,0.9781,0.9613,-,0.9741,0.9528,-,0.9948,0.9933,-,0.9843,0.9726
